"CHILDID","C7DESMTH","C7R4MSCL","S7_ID","C6R4MSCL","P6EXPECT","GENDER","RACE","WKSESL","WKPOV_R","WKMOMED","P7HFAMIL","S7PUPRI","R7REGION","R7URBAN"
"0442006C",1,163.54,"C367",147.43,"less than",1,"Other",0.27,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442009C",1,163.23,"C367",154.24,"4y college",1,"WHITE",0.81,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442010C",0,144.16,"C367",86.67,"4y college",1,"WHITE",0.99,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442011C",1,120.41,"C367",110.55,"less than",0,"Other",1.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442012C",0,162.26,"C367",140.28,"4y college",0,"Other",0.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442014C",0,151.71,"C367",136.48,"4y college",0,"Other",-0.4,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442015C",0,148.94,"C367",128.12,"4y college",0,"Other",-0.25,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442016C",1,141.23,"C367",113.95,"4y college",0,"Other",0.19,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442017C",1,169.71,"C367",151.27,"4y college",1,"Other",1.18,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442018C",0,163.27,"C367",143.52,"4y college",0,"WHITE",1.06,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442019C",1,171.39,"C367",150.29,"more than",1,"Other",-0.28,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442020C",1,166.55,"C367",140.42,"4y college",1,"Other",0.33,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442021C",0,163.37,"C367",129.09,"4y college",0,"Other",0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442023C",0,151.22,"C367",138.75,"4y college",1,"WHITE",0.38,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0442024C",0,139.3,"C367",115.25,"4y college",0,"Other",-0.31,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0443001C",0,144.36,"7390",134.69,"4y college",0,"WHITE",0.81,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443003C",0,156.06,"7390",142.96,"4y college",0,"WHITE",1.17,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443005C",0,154.7,"7390",153.13,"4y college",1,"WHITE",0.68,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443008C",1,161.48,"7390",144.63,"more than",0,"WHITE",0.06,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443009C",1,169.94,"7390",168.27,"4y college",1,"WHITE",0.91,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443012C",1,168.87,"7390",158.78,"4y college",0,"WHITE",1.53,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443015C",0,164.14,"7390",139.41,"4y college",0,"WHITE",0.57,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443017C",0,148.97,"7390",141.02,"more than",0,"WHITE",1.96,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443019C",0,162.2,"7390",165.89,"4y college",1,"WHITE",-0.3,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443020C",1,171.19,"7390",167.66,"more than",1,"WHITE",0.25,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443021C",0,147.68,"7390",131.21,"4y college",1,"WHITE",0.96,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0443023C",1,154.89,"7390",141.79,"4y college",0,"WHITE",0.88,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE CITY"
"0447001C",0,132.04,"C357",94.4,"4y college",0,"WHITE",0.55,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0447002C",0,141.28,"C357",96.08,"less than",0,"WHITE",-0.08,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0447007C",0,153.56,"C357",156.29,"more than",1,"WHITE",0.14,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0447009C",0,142.67,"C357",120.19,"4y college",0,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0447011C",1,163.56,"C357",154.91,"4y college",0,"WHITE",1.15,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0447013C",1,166.47,"C357",155.67,"less than",1,"WHITE",-0.13,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0447019C",0,148.63,"C357",123.9,"less than",1,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0447022C",0,157.02,"C357",118.13,"4y college",0,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0451002C",0,142.55,"C377",119.93,"4y college",0,"WHITE",-0.37,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451003C",1,164.8,"C381",136.4,"less than",0,"WHITE",-0.18,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451006C",1,156.97,"C377",150.96,"less than",0,"WHITE",-0.03,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451007C",1,114.27,"C377",103.09,"more than",0,"HISPANIC",-0.8,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451010C",0,137.04,"C377",130.63,"4y college",0,"WHITE",0.62,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451014C",1,167.93,"C377",154.61,"4y college",1,"WHITE",-0.36,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451015C",0,145.63,"C377",140.4,"less than",0,"WHITE",-0.25,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451019C",1,164.72,"C381",140.31,"4y college",0,"WHITE",0.28,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451020C",1,158.91,"C377",148.87,"4y college",0,"WHITE",-0.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451021C",0,79.52,"C377",60.14,"less than",0,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451022C",0,97.04,"C377",82.93,"less than",0,"WHITE",-0.55,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451023C",1,163.79,"C377",154.13,"4y college",1,"WHITE",0.14,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451024C",0,137.47,"C377",87.9,"4y college",1,"HISPANIC",0.31,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0451025C",0,136.68,"C377",131.56,"more than",0,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452001C",0,166.27,"C380",140.13,"less than",1,"WHITE",0,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452002C",1,137.79,"C380",126.67,"4y college",0,"WHITE",-0.15,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452004C",1,134.11,"C380",114.89,"4y college",0,"WHITE",1.21,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452005C",0,94.1,"C380",90.95,"4y college",1,"WHITE",0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452006C",0,163.69,"C380",126.99,"4y college",0,"WHITE",0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452008C",0,160.95,"C380",134.63,"4y college",1,"WHITE",0.23,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452009C",0,154.07,"C380",142.43,"less than",1,"WHITE",0.13,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452010C",0,130.75,"C380",103.31,"less than",0,"HISPANIC",-0.22,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452011C",0,152.71,"C380",116.88,"less than",1,"WHITE",-0.01,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452014C",1,164.52,"C380",149.61,"4y college",1,"WHITE",1.19,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452015C",1,157.82,"C380",140.61,"4y college",1,"WHITE",0.31,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452016C",0,155.94,"C380",144.57,"4y college",1,"WHITE",-0.39,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452017C",0,146.33,"C380",106.64,"less than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452018C",1,166.55,"C380",151.4,"4y college",1,"WHITE",1.21,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452019C",1,166.83,"C380",154.72,"4y college",0,"WHITE",-0.13,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452020C",1,157.17,"C380",136.89,"more than",0,"WHITE",0.63,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452022C",1,150.95,"C380",153.58,"4y college",1,"WHITE",0.82,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452023C",0,133.58,"C380",108.44,"less than",0,"WHITE",-0.35,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452024C",0,114.6,"C380",88.58,"4y college",1,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0452025C",1,168.51,"C380",142.6,"less than",1,"WHITE",0,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453002C",0,143.89,"C381",112.27,"less than",1,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453004C",1,162.66,"C381",151.03,"more than",0,"WHITE",0.68,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453006C",1,170.37,"C381",159.81,"less than",0,"WHITE",0.34,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453007C",0,136.7,"C381",117.45,"4y college",0,"WHITE",0.08,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453010C",0,162.13,"C381",156.14,"4y college",1,"WHITE",0.75,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453011C",0,147.43,"C388",138.44,"less than",1,"HISPANIC",-0.55,"AT OR ABOVE POVERTY THRESHOLD","less than high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0453012C",0,150.52,"C381",154.1,"less than",1,"WHITE",-0.27,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453013C",0,149.19,"C381",123.44,"4y college",1,"WHITE",-0.22,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453014C",0,159.07,"C381",122.58,"less than",0,"WHITE",-0.25,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453017C",0,137.49,"C381",114.17,"less than",0,"WHITE",0.14,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453020C",0,155.82,"C381",145.35,"4y college",1,"WHITE",0.72,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0453022C",0,166.22,"C381",150.03,"less than",1,"WHITE",-0.31,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0454002C",1,150,"C388",151.37,"4y college",0,"WHITE",0.58,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454003C",0,160.07,"C386",141.51,"more than",1,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454007C",0,140.61,"C386",125.15,"4y college",0,"WHITE",1.14,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454008C",0,143.12,"C388",103.23,"4y college",0,"WHITE",0.7,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454011C",0,134.67,"C386",131.53,"4y college",1,"WHITE",-0.09,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454015C",0,93.16,"C386",58.63,"less than",0,"WHITE",0.44,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454016C",0,99.3,"C386",108.45,"less than",1,"HISPANIC",-0.09,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454017C",0,132.09,"C386",114.13,"less than",1,"WHITE",-0.43,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454018C",0,134.21,"C386",113.9,"4y college",1,"HISPANIC",-0.43,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454022C",0,113.01,"C386",74.39,"4y college",0,"WHITE",-0.21,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454024C",0,145.07,"C386",128.57,"4y college",1,"WHITE",0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0454025C",0,118.18,"C386",78.89,"less than",0,"WHITE",0.44,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455001C",0,132.13,"C388",120.68,"4y college",0,"WHITE",0.39,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455003C",1,162.34,"C388",143.69,"more than",1,"HISPANIC",1.9,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455004C",0,143.58,"C388",131.23,"4y college",1,"WHITE",0.87,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455007C",0,143.54,"C388",118.23,"less than",1,"WHITE",-0.04,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455009C",1,130.95,"C388",129.8,"4y college",0,"WHITE",0.52,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455010C",0,113.66,"C388",103.68,"more than",0,"WHITE",-0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455013C",1,170.32,"C388",157.47,"4y college",0,"WHITE",0.33,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455015C",0,145.21,"C388",131.99,"4y college",0,"WHITE",0.26,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455016C",1,148.49,"C388",119.72,"4y college",0,"WHITE",1.95,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455017C",0,131.54,"C388",80.3,"4y college",1,"WHITE",0.29,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455019C",0,126.29,"C388",107.4,"4y college",0,"WHITE",0.73,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455022C",1,164.21,"C388",152.83,"4y college",1,"WHITE",0.63,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455023C",0,134.41,"C388",112.47,"4y college",0,"WHITE",0.43,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0455024C",1,141.44,"C388",151.89,"more than",0,"WHITE",0.27,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456005C",0,126.8,"C388",85.43,"less than",1,"HISPANIC",-0.8,"BELOW POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456010C",1,167.56,"C386",151.32,"4y college",1,"WHITE",-0.15,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456014C",0,94.78,"C386",89.51,"less than",0,"WHITE",-0.59,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456016C",0,114.9,"C386",80.92,"less than",0,"HISPANIC",-0.12,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456018C",0,131.52,"C386",111.5,"less than",1,"WHITE",-0.38,"BELOW POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456019C",0,98.28,"C386",90.28,"4y college",1,"WHITE",-0.32,"BELOW POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456022C",0,130.4,"C386",103.25,"4y college",1,"WHITE",-0.2,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0456023C",1,157.5,"C386",136.67,"more than",0,"WHITE",0.28,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0458002C",0,129.08,"C386",123.56,"more than",1,"WHITE",0.03,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0458005C",0,143.79,"C386",131.7,"less than",1,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0458007C",1,147.51,"C386",133.23,"4y college",1,"WHITE",-0.29,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0458009C",1,147.53,"C386",131.45,"less than",1,"HISPANIC",-0.46,"AT OR ABOVE POVERTY THRESHOLD","high school","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0458012C",0,155.25,"C386",140.44,"less than",1,"WHITE",-0.39,"BELOW POVERTY THRESHOLD","some college or voca program","one parent","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0458013C",1,76.21,"C386",94.51,"4y college",0,"WHITE",0.05,"AT OR ABOVE POVERTY THRESHOLD","some college or voca program","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0458018C",0,149.48,"C386",135.72,"4y college",1,"WHITE",1.97,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","LARGE AND MID-SIZE SUBURB AND LARGE TOWN"
"0460001C",1,167.18,"A034",156.7,"4y college",1,"Other",0.99,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0460002C",0,154.55,"A034",138.89,"4y college",1,"HISPANIC",2.28,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0460003C",1,172.2,"A034",157.36,"4y college",1,"Other",1.54,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0460004C",0,149.99,"A034",142.29,"less than",1,"WHITE",-0.48,"AT OR ABOVE POVERTY THRESHOLD","high school","one parent","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
"0460005C",0,149.74,"A034",138.72,"less than",1,"WHITE",1.92,"AT OR ABOVE POVERTY THRESHOLD","Bachelor's degree or higher","two parents","PUBLIC","MIDWEST","SMALL TOWN AND RURAL"
